api,pair,interval,from,to,n,missing,id
spot,ADAUSDT,15m,2019-12-31T23:00:00Z,2024-10-14T08:45:00Z,167695,0,ADAUSDT-spot-15m
spot,ADAUSDT,1M,2018-04-01T00:00:00Z,2024-10-01T00:00:00Z,79,0,ADAUSDT-spot-1M
spot,ADAUSDT,1d,2018-04-17T00:00:00Z,2024-10-14T00:00:00Z,2373,0,ADAUSDT-spot-1d
spot,ADAUSDT,1h,2018-04-17T04:00:00Z,2024-10-14T08:00:00Z,56845,0,ADAUSDT-spot-1h
spot,ADAUSDT,1w,2018-04-16T00:00:00Z,2024-10-14T00:00:00Z,340,0,ADAUSDT-spot-1w
spot,ADAUSDT,30m,2018-04-17T04:00:00Z,2024-10-14T08:30:00Z,113676,0,ADAUSDT-spot-30m
spot,ADAUSDT,4h,2018-04-17T04:00:00Z,2024-10-14T08:00:00Z,14225,0,ADAUSDT-spot-4h
spot,ADAUSDT,5m,2018-04-17T04:00:00Z,2024-10-14T08:55:00Z,682020,0,ADAUSDT-spot-5m
spot,AIUSDT,15m,2024-01-04T10:00:00Z,2024-10-14T08:45:00Z,27260,0,AIUSDT-spot-15m
spot,AIUSDT,1M,2024-01-01T00:00:00Z,2024-10-01T00:00:00Z,10,0,AIUSDT-spot-1M
spot,AIUSDT,1d,2024-01-04T00:00:00Z,2024-10-14T00:00:00Z,285,0,AIUSDT-spot-1d
spot,AIUSDT,1h,2024-01-04T10:00:00Z,2024-10-14T08:00:00Z,6815,0,AIUSDT-spot-1h
spot,AIUSDT,1w,2024-01-01T00:00:00Z,2024-10-14T00:00:00Z,42,0,AIUSDT-spot-1w
spot,AIUSDT,30m,2024-01-04T10:00:00Z,2024-10-14T08:30:00Z,13630,0,AIUSDT-spot-30m
spot,AIUSDT,4h,2024-01-04T08:00:00Z,2024-10-14T08:00:00Z,1705,0,AIUSDT-spot-4h
spot,AIUSDT,5m,2024-01-04T10:00:00Z,2024-10-14T08:55:00Z,81780,0,AIUSDT-spot-5m
spot,ALTUSDT,15m,2024-01-25T10:00:00Z,2024-10-14T08:45:00Z,25244,0,ALTUSDT-spot-15m
spot,ALTUSDT,1M,2024-01-01T00:00:00Z,2024-10-01T00:00:00Z,10,0,ALTUSDT-spot-1M
spot,ALTUSDT,1d,2024-01-25T00:00:00Z,2024-10-14T00:00:00Z,264,0,ALTUSDT-spot-1d
spot,ALTUSDT,1h,2024-01-25T10:00:00Z,2024-10-14T08:00:00Z,6311,0,ALTUSDT-spot-1h
spot,ALTUSDT,1w,2024-01-22T00:00:00Z,2024-10-14T00:00:00Z,39,0,ALTUSDT-spot-1w
spot,ALTUSDT,30m,2024-01-25T10:00:00Z,2024-10-14T08:30:00Z,12622,0,ALTUSDT-spot-30m
spot,ALTUSDT,4h,2024-01-25T08:00:00Z,2024-10-14T08:00:00Z,1579,0,ALTUSDT-spot-4h
spot,ALTUSDT,5m,2024-01-25T10:00:00Z,2024-10-14T08:55:00Z,75732,0,ALTUSDT-spot-5m
spot,ATOMUSDT,15m,2019-12-31T23:00:00Z,2024-10-14T08:45:00Z,167695,0,ATOMUSDT-spot-15m
spot,ATOMUSDT,1M,2019-04-01T00:00:00Z,2024-10-01T00:00:00Z,67,0,ATOMUSDT-spot-1M
spot,ATOMUSDT,1d,2019-04-29T00:00:00Z,2024-10-14T00:00:00Z,1996,0,ATOMUSDT-spot-1d
spot,ATOMUSDT,1h,2019-04-29T04:00:00Z,2024-10-14T08:00:00Z,47831,0,ATOMUSDT-spot-1h
spot,ATOMUSDT,1w,2019-04-29T00:00:00Z,2024-10-14T00:00:00Z,286,0,ATOMUSDT-spot-1w
spot,ATOMUSDT,30m,2019-04-29T04:00:00Z,2024-10-14T08:30:00Z,95651,0,ATOMUSDT-spot-30m
spot,ATOMUSDT,4h,2019-04-29T04:00:00Z,2024-10-14T08:00:00Z,11968,0,ATOMUSDT-spot-4h
spot,ATOMUSDT,5m,2019-04-29T04:00:00Z,2024-10-14T08:55:00Z,573874,0,ATOMUSDT-spot-5m
spot,AVAXUSDT,15m,2020-09-22T06:30:00Z,2024-10-14T08:45:00Z,142284,0,AVAXUSDT-spot-15m
spot,AVAXUSDT,1M,2020-09-01T00:00:00Z,2024-10-01T00:00:00Z,50,0,AVAXUSDT-spot-1M
spot,AVAXUSDT,1d,2020-09-22T00:00:00Z,2024-10-14T00:00:00Z,1484,0,AVAXUSDT-spot-1d
spot,AVAXUSDT,1h,2020-09-22T06:00:00Z,2024-10-14T08:00:00Z,35575,0,AVAXUSDT-spot-1h
spot,AVAXUSDT,1w,2020-09-21T00:00:00Z,2024-10-14T00:00:00Z,213,0,AVAXUSDT-spot-1w
spot,AVAXUSDT,30m,2020-09-22T06:30:00Z,2024-10-14T08:30:00Z,71144,0,AVAXUSDT-spot-30m
spot,AVAXUSDT,4h,2020-09-22T04:00:00Z,2024-10-14T08:00:00Z,8900,0,AVAXUSDT-spot-4h
spot,AVAXUSDT,5m,2020-09-22T06:30:00Z,2024-10-14T08:55:00Z,426847,0,AVAXUSDT-spot-5m
spot,BNBBTC,15m,2017-07-14T04:00:00Z,2024-10-14T08:45:00Z,253759,0,BNBBTC-spot-15m
spot,BNBBTC,1M,2017-07-01T00:00:00Z,2024-10-01T00:00:00Z,88,0,BNBBTC-spot-1M
spot,BNBBTC,1d,2017-07-14T00:00:00Z,2024-10-14T00:00:00Z,2650,0,BNBBTC-spot-1d
spot,BNBBTC,1h,2017-07-14T04:00:00Z,2024-10-14T08:00:00Z,63453,0,BNBBTC-spot-1h
spot,BNBBTC,1w,2017-07-10T00:00:00Z,2024-10-14T00:00:00Z,380,0,BNBBTC-spot-1w
spot,BNBBTC,30m,2017-07-14T04:00:00Z,2024-10-14T08:30:00Z,126887,0,BNBBTC-spot-30m
spot,BNBBTC,4h,2017-07-14T04:00:00Z,2024-10-14T08:00:00Z,15880,0,BNBBTC-spot-4h
spot,BNBBTC,5m,2017-07-14T04:00:00Z,2024-10-14T08:55:00Z,761257,0,BNBBTC-spot-5m
spot,BNBUSDT,15m,2019-12-31T23:00:00Z,2024-10-14T08:45:00Z,167695,0,BNBUSDT-spot-15m
spot,BNBUSDT,1M,2018-01-01T00:00:00Z,2024-10-01T00:00:00Z,82,0,BNBUSDT-spot-1M
spot,BNBUSDT,1d,2018-01-01T00:00:00Z,2024-10-14T00:00:00Z,2479,0,BNBUSDT-spot-1d
spot,BNBUSDT,1h,2021-01-18T20:00:00Z,2024-10-14T08:00:00Z,32735,0,BNBUSDT-spot-1h
spot,BNBUSDT,1w,2018-01-01T00:00:00Z,2024-10-14T00:00:00Z,355,0,BNBUSDT-spot-1w
spot,BNBUSDT,30m,2017-11-06T03:30:00Z,2024-10-14T08:30:00Z,121381,0,BNBUSDT-spot-30m
spot,BNBUSDT,4h,2018-01-01T00:00:00Z,2024-10-14T08:00:00Z,14855,0,BNBUSDT-spot-4h
spot,BNBUSDT,5m,2017-11-06T03:50:00Z,2024-10-14T08:55:00Z,728222,0,BNBUSDT-spot-5m
spot,BTCUSDT,15m,2017-12-31T23:00:00Z,2024-10-14T08:45:00Z,237396,0,BTCUSDT-spot-15m
spot,BTCUSDT,1M,2018-01-01T00:00:00Z,2024-02-01T00:00:00Z,74,0,BTCUSDT-spot-1M
spot,BTCUSDT,1d,2018-01-01T00:00:00Z,2024-10-14T00:00:00Z,2479,0,BTCUSDT-spot-1d
spot,BTCUSDT,1h,2017-12-31T23:00:00Z,2024-10-14T08:00:00Z,59360,0,BTCUSDT-spot-1h
spot,BTCUSDT,1m,2019-12-31T00:00:00Z,2024-10-14T08:56:00Z,2515311,0,BTCUSDT-spot-1m
spot,BTCUSDT,1w,2018-01-01T00:00:00Z,2024-10-14T00:00:00Z,355,0,BTCUSDT-spot-1w
spot,BTCUSDT,30m,2017-12-31T23:00:00Z,2024-10-14T08:30:00Z,118704,0,BTCUSDT-spot-30m
spot,BTCUSDT,3m,2023-01-31T23:00:00Z,2024-03-22T15:18:00Z,186542,0,BTCUSDT-spot-3m
spot,BTCUSDT,4h,2018-01-01T00:00:00Z,2024-10-14T08:00:00Z,14855,0,BTCUSDT-spot-4h
spot,BTCUSDT,5m,2017-12-31T23:00:00Z,2024-10-14T08:55:00Z,695183,0,BTCUSDT-spot-5m
spot,DOGEUSDT,15m,2019-12-31T23:00:00Z,2024-10-14T08:45:00Z,167695,0,DOGEUSDT-spot-15m
spot,DOGEUSDT,1M,2019-07-01T00:00:00Z,2024-10-01T00:00:00Z,64,0,DOGEUSDT-spot-1M
spot,DOGEUSDT,1d,2019-07-05T00:00:00Z,2024-10-14T00:00:00Z,1929,0,DOGEUSDT-spot-1d
spot,DOGEUSDT,1h,2019-07-05T12:00:00Z,2024-10-14T08:00:00Z,46225,0,DOGEUSDT-spot-1h
spot,DOGEUSDT,1w,2019-07-01T00:00:00Z,2024-10-14T00:00:00Z,277,0,DOGEUSDT-spot-1w
spot,DOGEUSDT,30m,2019-07-05T12:00:00Z,2024-10-14T08:30:00Z,92440,0,DOGEUSDT-spot-30m
spot,DOGEUSDT,4h,2019-07-05T12:00:00Z,2024-10-14T08:00:00Z,11566,0,DOGEUSDT-spot-4h
spot,DOGEUSDT,5m,2019-07-05T12:00:00Z,2024-10-14T08:55:00Z,554614,0,DOGEUSDT-spot-5m
spot,DYMUSDT,15m,2024-02-06T17:00:00Z,2024-10-14T08:45:00Z,24064,0,DYMUSDT-spot-15m
spot,DYMUSDT,1M,2024-02-01T00:00:00Z,2024-10-01T00:00:00Z,9,0,DYMUSDT-spot-1M
spot,DYMUSDT,1d,2024-02-06T00:00:00Z,2024-10-14T00:00:00Z,252,0,DYMUSDT-spot-1d
spot,DYMUSDT,1h,2024-02-06T17:00:00Z,2024-10-14T08:00:00Z,6016,0,DYMUSDT-spot-1h
spot,DYMUSDT,1w,2024-02-05T00:00:00Z,2024-10-14T00:00:00Z,37,0,DYMUSDT-spot-1w
spot,DYMUSDT,30m,2024-02-06T17:00:00Z,2024-10-14T08:30:00Z,12032,0,DYMUSDT-spot-30m
spot,DYMUSDT,4h,2024-02-06T16:00:00Z,2024-10-14T08:00:00Z,1505,0,DYMUSDT-spot-4h
spot,DYMUSDT,5m,2024-02-06T17:00:00Z,2024-10-14T08:55:00Z,72192,0,DYMUSDT-spot-5m
spot,EDUUSDT,15m,2023-04-28T22:00:00Z,2024-10-14T08:45:00Z,51308,0,EDUUSDT-spot-15m
spot,EDUUSDT,1M,2023-10-01T00:00:00Z,2023-10-01T00:00:00Z,1,0,EDUUSDT-spot-1M
spot,EDUUSDT,1d,2023-04-29T00:00:00Z,2024-10-14T00:00:00Z,535,0,EDUUSDT-spot-1d
spot,EDUUSDT,1h,2023-04-28T22:00:00Z,2024-10-14T08:00:00Z,12827,0,EDUUSDT-spot-1h
spot,EDUUSDT,1m,2023-10-01T00:00:00Z,2024-10-14T08:57:00Z,546298,0,EDUUSDT-spot-1m
spot,EDUUSDT,1w,2023-04-24T00:00:00Z,2024-10-14T00:00:00Z,78,0,EDUUSDT-spot-1w
spot,EDUUSDT,30m,2023-04-28T22:00:00Z,2024-10-14T08:30:00Z,25654,0,EDUUSDT-spot-30m
spot,EDUUSDT,4h,2023-04-29T00:00:00Z,2024-10-14T08:00:00Z,3207,0,EDUUSDT-spot-4h
spot,EDUUSDT,5m,2023-04-28T22:00:00Z,2024-10-14T08:55:00Z,153924,0,EDUUSDT-spot-5m
spot,EGLDUSDT,15m,2020-09-03T03:00:00Z,2024-10-14T08:45:00Z,144122,0,EGLDUSDT-spot-15m
spot,EGLDUSDT,1M,2020-09-01T00:00:00Z,2024-10-01T00:00:00Z,50,0,EGLDUSDT-spot-1M
spot,EGLDUSDT,1d,2020-09-03T00:00:00Z,2024-10-14T00:00:00Z,1503,0,EGLDUSDT-spot-1d
spot,EGLDUSDT,1h,2020-09-03T03:00:00Z,2024-10-14T08:00:00Z,36034,0,EGLDUSDT-spot-1h
spot,EGLDUSDT,1w,2020-08-31T00:00:00Z,2024-10-14T00:00:00Z,216,0,EGLDUSDT-spot-1w
spot,EGLDUSDT,30m,2020-09-03T03:00:00Z,2024-10-14T08:30:00Z,72063,0,EGLDUSDT-spot-30m
spot,EGLDUSDT,4h,2020-09-03T00:00:00Z,2024-10-14T08:00:00Z,9015,0,EGLDUSDT-spot-4h
spot,EGLDUSDT,5m,2020-09-03T03:00:00Z,2024-10-14T08:55:00Z,432361,0,EGLDUSDT-spot-5m
spot,ETHBTC,15m,2017-07-14T04:00:00Z,2024-10-14T08:45:00Z,253759,0,ETHBTC-spot-15m
spot,ETHBTC,1M,2017-07-01T00:00:00Z,2024-10-01T00:00:00Z,88,0,ETHBTC-spot-1M
spot,ETHBTC,1d,2017-07-14T00:00:00Z,2024-10-14T00:00:00Z,2650,0,ETHBTC-spot-1d
spot,ETHBTC,1h,2017-07-14T04:00:00Z,2024-10-14T08:00:00Z,63453,0,ETHBTC-spot-1h
spot,ETHBTC,1w,2017-07-10T00:00:00Z,2024-10-14T00:00:00Z,380,0,ETHBTC-spot-1w
spot,ETHBTC,30m,2017-07-14T04:00:00Z,2024-10-14T08:30:00Z,126887,0,ETHBTC-spot-30m
spot,ETHBTC,4h,2017-07-14T04:00:00Z,2024-10-14T08:00:00Z,15880,0,ETHBTC-spot-4h
spot,ETHBTC,5m,2017-07-14T04:00:00Z,2024-10-14T08:55:00Z,761257,0,ETHBTC-spot-5m
spot,ETHUSDT,15m,2019-12-31T23:00:00Z,2024-10-14T08:45:00Z,167695,0,ETHUSDT-spot-15m
spot,ETHUSDT,1M,2018-01-01T00:00:00Z,2024-10-01T00:00:00Z,82,0,ETHUSDT-spot-1M
spot,ETHUSDT,1d,2018-01-01T00:00:00Z,2024-10-14T00:00:00Z,2479,0,ETHUSDT-spot-1d
spot,ETHUSDT,1h,2021-01-18T20:00:00Z,2024-10-14T08:00:00Z,32735,0,ETHUSDT-spot-1h
spot,ETHUSDT,1w,2018-01-01T00:00:00Z,2024-10-14T00:00:00Z,355,0,ETHUSDT-spot-1w
spot,ETHUSDT,30m,2017-08-17T04:00:00Z,2024-10-14T08:30:00Z,125255,0,ETHUSDT-spot-30m
spot,ETHUSDT,4h,2018-01-01T00:00:00Z,2024-10-14T08:00:00Z,14855,0,ETHUSDT-spot-4h
spot,ETHUSDT,5m,2017-08-17T04:00:00Z,2024-10-14T08:55:00Z,751465,0,ETHUSDT-spot-5m
spot,INJUSDT,15m,2020-10-21T04:00:00Z,2024-10-14T08:45:00Z,139510,0,INJUSDT-spot-15m
spot,INJUSDT,1M,2020-10-01T00:00:00Z,2024-10-01T00:00:00Z,49,0,INJUSDT-spot-1M
spot,INJUSDT,1d,2020-10-21T00:00:00Z,2024-10-14T00:00:00Z,1455,0,INJUSDT-spot-1d
spot,INJUSDT,1h,2020-10-21T04:00:00Z,2024-10-14T08:00:00Z,34881,0,INJUSDT-spot-1h
spot,INJUSDT,1w,2020-10-19T00:00:00Z,2024-10-14T00:00:00Z,209,0,INJUSDT-spot-1w
spot,INJUSDT,30m,2020-10-21T04:00:00Z,2024-10-14T08:30:00Z,69757,0,INJUSDT-spot-30m
spot,INJUSDT,4h,2020-10-21T04:00:00Z,2024-10-14T08:00:00Z,8726,0,INJUSDT-spot-4h
spot,INJUSDT,5m,2020-10-21T04:00:00Z,2024-10-14T08:55:00Z,418525,0,INJUSDT-spot-5m
spot,JUPUSDT,15m,2024-01-31T16:00:00Z,2024-10-14T08:45:00Z,24644,0,JUPUSDT-spot-15m
spot,JUPUSDT,1M,2024-01-01T00:00:00Z,2024-10-01T00:00:00Z,10,0,JUPUSDT-spot-1M
spot,JUPUSDT,1d,2024-01-31T00:00:00Z,2024-10-14T00:00:00Z,258,0,JUPUSDT-spot-1d
spot,JUPUSDT,1h,2024-01-31T16:00:00Z,2024-10-14T08:00:00Z,6161,0,JUPUSDT-spot-1h
spot,JUPUSDT,1w,2024-01-29T00:00:00Z,2024-10-14T00:00:00Z,38,0,JUPUSDT-spot-1w
spot,JUPUSDT,30m,2024-01-31T16:00:00Z,2024-10-14T08:30:00Z,12322,0,JUPUSDT-spot-30m
spot,JUPUSDT,4h,2024-01-31T16:00:00Z,2024-10-14T08:00:00Z,1541,0,JUPUSDT-spot-4h
spot,JUPUSDT,5m,2024-01-31T16:00:00Z,2024-10-14T08:55:00Z,73932,0,JUPUSDT-spot-5m
spot,MANTAUSDT,15m,2024-01-18T10:00:00Z,2024-10-14T08:45:00Z,25916,0,MANTAUSDT-spot-15m
spot,MANTAUSDT,1M,2024-01-01T00:00:00Z,2024-10-01T00:00:00Z,10,0,MANTAUSDT-spot-1M
spot,MANTAUSDT,1d,2024-01-18T00:00:00Z,2024-10-14T00:00:00Z,271,0,MANTAUSDT-spot-1d
spot,MANTAUSDT,1h,2024-01-18T10:00:00Z,2024-10-14T08:00:00Z,6479,0,MANTAUSDT-spot-1h
spot,MANTAUSDT,1w,2024-01-15T00:00:00Z,2024-10-14T00:00:00Z,40,0,MANTAUSDT-spot-1w
spot,MANTAUSDT,30m,2024-01-18T10:00:00Z,2024-10-14T08:30:00Z,12958,0,MANTAUSDT-spot-30m
spot,MANTAUSDT,4h,2024-01-18T08:00:00Z,2024-10-14T08:00:00Z,1621,0,MANTAUSDT-spot-4h
spot,MANTAUSDT,5m,2024-01-18T10:00:00Z,2024-10-14T08:55:00Z,77748,0,MANTAUSDT-spot-5m
spot,MATICBTC,15m,2019-04-26T15:00:00Z,2024-09-10T02:45:00Z,188250,0,MATICBTC-spot-15m
spot,MATICBTC,1M,2019-04-01T00:00:00Z,2024-09-01T00:00:00Z,66,0,MATICBTC-spot-1M
spot,MATICBTC,1d,2019-04-26T00:00:00Z,2024-09-10T00:00:00Z,1965,0,MATICBTC-spot-1d
spot,MATICBTC,1h,2019-04-26T15:00:00Z,2024-09-10T02:00:00Z,47070,0,MATICBTC-spot-1h
spot,MATICBTC,1w,2019-04-22T00:00:00Z,2024-09-09T00:00:00Z,282,0,MATICBTC-spot-1w
spot,MATICBTC,30m,2019-04-26T15:00:00Z,2024-09-10T02:30:00Z,94129,0,MATICBTC-spot-30m
spot,MATICBTC,4h,2019-04-26T12:00:00Z,2024-09-10T00:00:00Z,11778,0,MATICBTC-spot-4h
spot,MATICBTC,5m,2019-04-26T15:00:00Z,2024-09-10T02:55:00Z,564742,0,MATICBTC-spot-5m
spot,MATICUSDT,15m,2019-12-31T23:00:00Z,2024-09-10T02:45:00Z,164407,0,MATICUSDT-spot-15m
spot,MATICUSDT,1M,2019-04-01T00:00:00Z,2024-09-01T00:00:00Z,66,0,MATICUSDT-spot-1M
spot,MATICUSDT,1d,2019-04-26T00:00:00Z,2024-09-10T00:00:00Z,1965,0,MATICUSDT-spot-1d
spot,MATICUSDT,1h,2019-04-26T15:00:00Z,2024-09-10T02:00:00Z,47070,0,MATICUSDT-spot-1h
spot,MATICUSDT,1w,2019-04-22T00:00:00Z,2024-09-09T00:00:00Z,282,0,MATICUSDT-spot-1w
spot,MATICUSDT,30m,2019-04-26T15:00:00Z,2024-09-10T02:30:00Z,94129,0,MATICUSDT-spot-30m
spot,MATICUSDT,4h,2019-04-26T12:00:00Z,2024-09-10T00:00:00Z,11778,0,MATICUSDT-spot-4h
spot,MATICUSDT,5m,2019-04-26T15:00:00Z,2024-09-10T02:55:00Z,564742,0,MATICUSDT-spot-5m
spot,NFPUSDT,15m,2023-12-27T10:00:00Z,2024-10-14T08:45:00Z,28028,0,NFPUSDT-spot-15m
spot,NFPUSDT,1M,2023-12-01T00:00:00Z,2024-10-01T00:00:00Z,11,0,NFPUSDT-spot-1M
spot,NFPUSDT,1d,2023-12-27T00:00:00Z,2024-10-14T00:00:00Z,293,0,NFPUSDT-spot-1d
spot,NFPUSDT,1h,2023-12-27T10:00:00Z,2024-10-14T08:00:00Z,7007,0,NFPUSDT-spot-1h
spot,NFPUSDT,1w,2023-12-25T00:00:00Z,2024-10-14T00:00:00Z,43,0,NFPUSDT-spot-1w
spot,NFPUSDT,30m,2023-12-27T10:00:00Z,2024-10-14T08:30:00Z,14014,0,NFPUSDT-spot-30m
spot,NFPUSDT,4h,2023-12-27T08:00:00Z,2024-10-14T08:00:00Z,1753,0,NFPUSDT-spot-4h
spot,NFPUSDT,5m,2023-12-27T10:00:00Z,2024-10-14T08:55:00Z,84084,0,NFPUSDT-spot-5m
spot,PYTHUSDT,1m,2024-02-02T12:00:00Z,2024-10-14T08:59:00Z,367020,0,PYTHUSDT-spot-1m
spot,SEIUSDT,15m,2023-08-15T12:00:00Z,2024-10-14T08:45:00Z,40884,0,SEIUSDT-spot-15m
spot,SEIUSDT,1M,2023-08-01T00:00:00Z,2024-10-01T00:00:00Z,15,0,SEIUSDT-spot-1M
spot,SEIUSDT,1d,2023-08-15T00:00:00Z,2024-10-14T00:00:00Z,427,0,SEIUSDT-spot-1d
spot,SEIUSDT,1h,2023-08-15T12:00:00Z,2024-10-14T08:00:00Z,10221,0,SEIUSDT-spot-1h
spot,SEIUSDT,1w,2023-08-14T00:00:00Z,2024-10-14T00:00:00Z,62,0,SEIUSDT-spot-1w
spot,SEIUSDT,30m,2023-08-15T12:00:00Z,2024-10-14T08:30:00Z,20442,0,SEIUSDT-spot-30m
spot,SEIUSDT,4h,2023-08-15T12:00:00Z,2024-10-14T08:00:00Z,2556,0,SEIUSDT-spot-4h
spot,SEIUSDT,5m,2023-08-15T12:00:00Z,2024-10-14T08:55:00Z,122652,0,SEIUSDT-spot-5m
spot,SOLBTC,15m,2020-04-10T04:00:00Z,2024-10-14T08:45:00Z,158110,0,SOLBTC-spot-15m
spot,SOLBTC,1M,2020-04-01T00:00:00Z,2024-10-01T00:00:00Z,55,0,SOLBTC-spot-1M
spot,SOLBTC,1d,2020-04-10T00:00:00Z,2024-10-14T00:00:00Z,1649,0,SOLBTC-spot-1d
spot,SOLBTC,1h,2020-04-10T04:00:00Z,2024-10-14T08:00:00Z,39532,0,SOLBTC-spot-1h
spot,SOLBTC,1w,2020-04-06T00:00:00Z,2024-10-14T00:00:00Z,237,0,SOLBTC-spot-1w
spot,SOLBTC,30m,2020-04-10T04:00:00Z,2024-10-14T08:30:00Z,79057,0,SOLBTC-spot-30m
spot,SOLBTC,4h,2020-04-10T04:00:00Z,2024-10-14T08:00:00Z,9890,0,SOLBTC-spot-4h
spot,SOLBTC,5m,2020-04-10T04:00:00Z,2024-10-14T08:55:00Z,474325,0,SOLBTC-spot-5m
spot,SOLUSDT,15m,2020-08-11T06:00:00Z,2024-10-14T08:45:00Z,146318,0,SOLUSDT-spot-15m
spot,SOLUSDT,1M,2020-08-01T00:00:00Z,2024-10-01T00:00:00Z,51,0,SOLUSDT-spot-1M
spot,SOLUSDT,1d,2020-08-11T00:00:00Z,2024-10-14T00:00:00Z,1526,0,SOLUSDT-spot-1d
spot,SOLUSDT,1h,2020-08-11T06:00:00Z,2024-10-14T08:00:00Z,36583,0,SOLUSDT-spot-1h
spot,SOLUSDT,1w,2020-08-10T00:00:00Z,2024-10-14T00:00:00Z,219,0,SOLUSDT-spot-1w
spot,SOLUSDT,30m,2020-08-11T06:00:00Z,2024-10-14T08:30:00Z,73161,0,SOLUSDT-spot-30m
spot,SOLUSDT,4h,2020-08-11T04:00:00Z,2024-10-14T08:00:00Z,9152,0,SOLUSDT-spot-4h
spot,SOLUSDT,5m,2020-08-11T06:00:00Z,2024-10-14T08:55:00Z,438949,0,SOLUSDT-spot-5m
spot,SUIUSDT,15m,2023-05-03T12:00:00Z,2024-10-14T08:45:00Z,50868,0,SUIUSDT-spot-15m
spot,SUIUSDT,1M,2023-05-01T00:00:00Z,2024-10-01T00:00:00Z,18,0,SUIUSDT-spot-1M
spot,SUIUSDT,1d,2023-05-03T00:00:00Z,2024-10-14T00:00:00Z,531,0,SUIUSDT-spot-1d
spot,SUIUSDT,1h,2023-05-03T12:00:00Z,2024-10-14T08:00:00Z,12717,0,SUIUSDT-spot-1h
spot,SUIUSDT,1w,2023-05-01T00:00:00Z,2024-10-14T00:00:00Z,77,0,SUIUSDT-spot-1w
spot,SUIUSDT,30m,2023-05-03T12:00:00Z,2024-10-14T08:30:00Z,25434,0,SUIUSDT-spot-30m
spot,SUIUSDT,4h,2023-05-03T12:00:00Z,2024-10-14T08:00:00Z,3180,0,SUIUSDT-spot-4h
spot,SUIUSDT,5m,2023-05-03T12:00:00Z,2024-10-14T08:55:00Z,152604,0,SUIUSDT-spot-5m
spot,TIAUSDT,15m,2023-10-31T16:00:00Z,2024-10-14T08:45:00Z,33476,0,TIAUSDT-spot-15m
spot,TIAUSDT,1M,2023-10-01T00:00:00Z,2024-10-01T00:00:00Z,13,0,TIAUSDT-spot-1M
spot,TIAUSDT,1d,2023-10-31T00:00:00Z,2024-10-14T00:00:00Z,350,0,TIAUSDT-spot-1d
spot,TIAUSDT,1h,2023-10-31T16:00:00Z,2024-10-14T08:00:00Z,8369,0,TIAUSDT-spot-1h
spot,TIAUSDT,1w,2023-10-30T00:00:00Z,2024-10-14T00:00:00Z,51,0,TIAUSDT-spot-1w
spot,TIAUSDT,30m,2023-10-31T16:00:00Z,2024-10-14T08:30:00Z,16738,0,TIAUSDT-spot-30m
spot,TIAUSDT,4h,2023-10-31T16:00:00Z,2024-10-14T08:00:00Z,2093,0,TIAUSDT-spot-4h
spot,TIAUSDT,5m,2023-10-31T16:00:00Z,2024-10-14T08:55:00Z,100428,0,TIAUSDT-spot-5m
spot,WLDUSDT,15m,2023-07-24T09:00:00Z,2024-10-14T08:45:00Z,43008,0,WLDUSDT-spot-15m
spot,WLDUSDT,1M,2023-07-01T00:00:00Z,2024-01-01T00:00:00Z,8,0,WLDUSDT-spot-1M
spot,WLDUSDT,1d,2023-07-24T00:00:00Z,2024-10-14T00:00:00Z,449,0,WLDUSDT-spot-1d
spot,WLDUSDT,1h,2023-07-24T09:00:00Z,2024-10-14T08:00:00Z,10752,0,WLDUSDT-spot-1h
spot,WLDUSDT,1m,2023-07-01T00:00:00Z,2024-10-14T08:59:00Z,413826,0,WLDUSDT-spot-1m
spot,WLDUSDT,1w,2023-07-24T00:00:00Z,2024-10-14T00:00:00Z,65,0,WLDUSDT-spot-1w
spot,WLDUSDT,30m,2023-07-24T09:00:00Z,2024-10-14T09:00:00Z,21505,0,WLDUSDT-spot-30m
spot,WLDUSDT,4h,2023-07-24T08:00:00Z,2024-10-14T08:00:00Z,2689,0,WLDUSDT-spot-4h
spot,WLDUSDT,5m,2023-07-24T09:00:00Z,2024-10-14T09:00:00Z,129025,0,WLDUSDT-spot-5m
spot,XAIUSDT,15m,2024-01-09T10:00:00Z,2024-10-14T09:00:00Z,26781,0,XAIUSDT-spot-15m
spot,XAIUSDT,1M,2024-01-01T00:00:00Z,2024-10-01T00:00:00Z,10,0,XAIUSDT-spot-1M
spot,XAIUSDT,1d,2024-01-09T00:00:00Z,2024-10-14T00:00:00Z,280,0,XAIUSDT-spot-1d
spot,XAIUSDT,1h,2024-01-09T10:00:00Z,2024-10-14T09:00:00Z,6696,0,XAIUSDT-spot-1h
spot,XAIUSDT,1w,2024-01-08T00:00:00Z,2024-10-14T00:00:00Z,41,0,XAIUSDT-spot-1w
spot,XAIUSDT,30m,2024-01-09T10:00:00Z,2024-10-14T09:00:00Z,13391,0,XAIUSDT-spot-30m
spot,XAIUSDT,4h,2024-01-09T08:00:00Z,2024-10-14T08:00:00Z,1675,0,XAIUSDT-spot-4h
spot,XAIUSDT,5m,2024-01-09T10:00:00Z,2024-10-14T09:00:00Z,80341,0,XAIUSDT-spot-5m
spot,XRPUSDT,15m,2019-12-31T23:00:00Z,2024-10-14T09:00:00Z,167696,0,XRPUSDT-spot-15m
spot,XRPUSDT,1M,2018-05-01T00:00:00Z,2024-10-01T00:00:00Z,78,0,XRPUSDT-spot-1M
